Titulo,Autor(es),DOI,URL,Journal,NCBIID,Citation,PMCID,Año de Publicación
Association between vaginal microbiota and the progression of ovarian cancer.,"Li C, Feng Y, Yang C, Wang D, Zhang D, Luo X, Zhang H, Huang H, Zhang H, Jiang Y, Tan W, Liu J",10.1002/jmv.28898,https://ncbi.nlm.nih.gov/pubmed/37409619,J Med Virol,37409619,"Li C, et al. Association between vaginal microbiota and the progression of ovarian cancer. Association between vaginal microbiota and the progression of ovarian cancer. 2023; 95:e28898. doi: 10.1002/jmv.28898",N/A,2023
"A novel Gardnerella, Prevotella, and Lactobacillus standard that improves accuracy in quantifying bacterial burden in vaginal microbial communities.","Elnaggar JH, Ardizzone CM, Cerca N, Toh E, Łaniewski P, Lillis RA, Herbst-Kralovetz MM, Quayle AJ, Muzny CA, Taylor CM",10.3389/fcimb.2023.1198113,https://ncbi.nlm.nih.gov/pubmed/37404722,Front Cell Infect Microbiol,37404722,"Elnaggar JH, et al. A novel Gardnerella, Prevotella, and Lactobacillus standard that improves accuracy in quantifying bacterial burden in vaginal microbial communities. A novel Gardnerella, Prevotella, and Lactobacillus standard that improves accuracy in quantifying bacterial burden in vaginal microbial communities. 2023; 13:1198113. doi: 10.3389/fcimb.2023.1198113",N/A,2023
Changes in the microbial community after vaginal fluid exposure in different simulated forensic situations.,"Liao L, Ye L, Huang L, Yao T, Liang X, Chen L, Shen M",10.1016/j.forsciint.2023.111766,https://ncbi.nlm.nih.gov/pubmed/37339565,Forensic Sci Int,37339565,"Liao L, et al. Changes in the microbial community after vaginal fluid exposure in different simulated forensic situations. Changes in the microbial community after vaginal fluid exposure in different simulated forensic situations. 2023; 349:111766. doi: 10.1016/j.forsciint.2023.111766",N/A,2023
Birth Mode Does Not Determine the Presence of Shared Bacterial Strains between the Maternal Vaginal Microbiome and the Infant Stool Microbiome.,"Dos Santos SJ, Shukla I, Hill JE, Money DM, Maternal Microbiome Legacy Project Team",10.1128/spectrum.00614-23,https://ncbi.nlm.nih.gov/pubmed/37338388,Microbiol Spectr,37338388,"Dos Santos SJ, et al. Birth Mode Does Not Determine the Presence of Shared Bacterial Strains between the Maternal Vaginal Microbiome and the Infant Stool Microbiome. Birth Mode Does Not Determine the Presence of Shared Bacterial Strains between the Maternal Vaginal Microbiome and the Infant Stool Microbiome. 2023; 11:e0061423. doi: 10.1128/spectrum.00614-23",N/A,2023
Partial convergence of the human vaginal and rectal maternal microbiota in late gestation and early post-partum.,"Shin H, Martinez KA, Henderson N, Jay M, Schweizer W, Bogaert D, Park G, Bokulich NA, Blaser MJ, Dominguez-Bello MG",10.1038/s41522-023-00404-5,https://ncbi.nlm.nih.gov/pubmed/37311781,NPJ Biofilms Microbiomes,37311781,"Shin H, et al. Partial convergence of the human vaginal and rectal maternal microbiota in late gestation and early post-partum. Partial convergence of the human vaginal and rectal maternal microbiota in late gestation and early post-partum. 2023; 9:37. doi: 10.1038/s41522-023-00404-5",N/A,2023
Analysis of the microbiota composition in the genital tract of infertile patients with chronic endometritis or endometrial polyps.,"Liang J, Li M, Zhang L, Yang Y, Jin X, Zhang Q, Lv T, Huang Z, Liao Q, Tong X",10.3389/fcimb.2023.1125640,https://ncbi.nlm.nih.gov/pubmed/37284497,Front Cell Infect Microbiol,37284497,"Liang J, et al. Analysis of the microbiota composition in the genital tract of infertile patients with chronic endometritis or endometrial polyps. Analysis of the microbiota composition in the genital tract of infertile patients with chronic endometritis or endometrial polyps. 2023; 13:1125640. doi: 10.3389/fcimb.2023.1125640",N/A,2023
Microbial diversity in the vaginal microbiota and its link to pregnancy outcomes.,"Baud A, Hillion KH, Plainvert C, Tessier V, Tazi A, Mandelbrot L, Poyart C, Kennedy SP",10.1038/s41598-023-36126-z,https://ncbi.nlm.nih.gov/pubmed/37271782,Sci Rep,37271782,"Baud A, et al. Microbial diversity in the vaginal microbiota and its link to pregnancy outcomes. Microbial diversity in the vaginal microbiota and its link to pregnancy outcomes. 2023; 13:9061. doi: 10.1038/s41598-023-36126-z",N/A,2023
Comparative analysis of vaginal microbiota sampling using menstrual cups and high vaginal swabs in pregnant women living with HIV-1 infection.,"Short CS, Quinlan R, Lee YS, Preda VG, Smith A, Marchesi JR, Shattock R, Bennett PR, MacIntyre DA, Taylor GP",10.3389/fcimb.2023.1190160,https://ncbi.nlm.nih.gov/pubmed/37228662,Front Cell Infect Microbiol,37228662,"Short CS, et al. Comparative analysis of vaginal microbiota sampling using menstrual cups and high vaginal swabs in pregnant women living with HIV-1 infection. Comparative analysis of vaginal microbiota sampling using menstrual cups and high vaginal swabs in pregnant women living with HIV-1 infection. 2023; 13:1190160. doi: 10.3389/fcimb.2023.1190160",N/A,2023
Lactobacillus crispatus-dominated vaginal microbiome and Acinetobacter-dominated seminal microbiome support beneficial ART outcome.,"Koort K, Sõsa K, Türk S, Lapp E, Talving E, Karits P, Rosenstein K, Jaagura M, Sekavin A, Sõritsa D, Haldre K, Karro H, Korrovits P, Salumets A, Mändar R",10.1111/aogs.14598,https://ncbi.nlm.nih.gov/pubmed/37221898,Acta Obstet Gynecol Scand,37221898,"Koort K, et al. Lactobacillus crispatus-dominated vaginal microbiome and Acinetobacter-dominated seminal microbiome support beneficial ART outcome. Lactobacillus crispatus-dominated vaginal microbiome and Acinetobacter-dominated seminal microbiome support beneficial ART outcome. 2023; 102:921-934. doi: 10.1111/aogs.14598",N/A,2023
Vaginal carriage of Haemophilus influenzae in a non-pregnant reproductive-age population.,"Limaye MA, Brubaker S, Randis TM, Ratner AJ",10.1186/s12866-023-02885-y,https://ncbi.nlm.nih.gov/pubmed/37208594,BMC Microbiol,37208594,"Limaye MA, et al. Vaginal carriage of Haemophilus influenzae in a non-pregnant reproductive-age population. Vaginal carriage of Haemophilus influenzae in a non-pregnant reproductive-age population. 2023; 23:141. doi: 10.1186/s12866-023-02885-y",N/A,2023
Single-Molecule Approach to 16S rRNA for Vaginal Microbiome Signatures in Response to Metronidazole Treatment.,"Qin H, Jiao J, A D, Hua M, Han K, Du H, Wang Z, Li J, Zhang D, Xiao B, Chen C",10.1128/spectrum.01706-22,https://ncbi.nlm.nih.gov/pubmed/37199621,Microbiol Spectr,37199621,"Qin H, et al. Single-Molecule Approach to 16S rRNA for Vaginal Microbiome Signatures in Response to Metronidazole Treatment. Single-Molecule Approach to 16S rRNA for Vaginal Microbiome Signatures in Response to Metronidazole Treatment. 2023; 11:e0170622. doi: 10.1128/spectrum.01706-22",N/A,2023
Characterization of the equine placental microbial population in healthy pregnancies.,"van Heule M, Monteiro HF, Bazzazan A, Scoggin K, Rolston M, El-Sheikh Ali H, Weimer BC, Ball B, Daels P, Dini P",10.1016/j.theriogenology.2023.04.022,https://ncbi.nlm.nih.gov/pubmed/37187056,Theriogenology,37187056,"van Heule M, et al. Characterization of the equine placental microbial population in healthy pregnancies. Characterization of the equine placental microbial population in healthy pregnancies. 2023; 206:60-70. doi: 10.1016/j.theriogenology.2023.04.022",N/A,2023
Microbiome analysis of Brazilian women cervix reveals specific bacterial abundance correlation to RIG-like receptor gene expression.,"Britto AMA, Siqueira JD, Curty G, Goes LR, Policarpo C, Meyrelles AR, Furtado Y, Almeida G, Giannini ALM, Machado ES, Soares MA",10.3389/fimmu.2023.1147950,https://ncbi.nlm.nih.gov/pubmed/37180114,Front Immunol,37180114,"Britto AMA, et al. Microbiome analysis of Brazilian women cervix reveals specific bacterial abundance correlation to RIG-like receptor gene expression. Microbiome analysis of Brazilian women cervix reveals specific bacterial abundance correlation to RIG-like receptor gene expression. 2023; 14:1147950. doi: 10.3389/fimmu.2023.1147950",N/A,2023
Vaginal and Cervical Microbiota Composition in Patients with Endometrial Cancer.,"Barczyński B, Frąszczak K, Grywalska E, Kotarski J, Korona-Głowniak I",10.3390/ijms24098266,https://ncbi.nlm.nih.gov/pubmed/37175971,Int J Mol Sci,37175971,"Barczyński B, et al. Vaginal and Cervical Microbiota Composition in Patients with Endometrial Cancer. Vaginal and Cervical Microbiota Composition in Patients with Endometrial Cancer. 2023; 24:(unknown pages). doi: 10.3390/ijms24098266",N/A,2023
"Vaginal epithelial dysfunction is mediated by the microbiome, metabolome, and mTOR signaling.","Berard AR, Brubaker DK, Birse K, Lamont A, Mackelprang RD, Noël-Romas L, Perner M, Hou X, Irungu E, Mugo N, Knodel S, Muwonge TR, Katabira E, Hughes SM, Levy C, Calienes FL, Lauffenburger DA, Baeten JM, Celum C, Hladik F, Lingappa J, Burgener AD",10.1016/j.celrep.2023.112474,https://ncbi.nlm.nih.gov/pubmed/37149863,Cell Rep,37149863,"Berard AR, et al. Vaginal epithelial dysfunction is mediated by the microbiome, metabolome, and mTOR signaling. Vaginal epithelial dysfunction is mediated by the microbiome, metabolome, and mTOR signaling. 2023; 42:112474. doi: 10.1016/j.celrep.2023.112474",N/A,2023
"Effect of vaginal probiotics containing Lactobacillus casei rhamnosus (Lcr regenerans) on vaginal dysbiotic microbiota and pregnancy outcome, prospective, randomized study.","Petricevic L, Rosicky I, Kiss H, Janjic N, Kaufmann U, Holzer I, Farr A",10.1038/s41598-023-34275-9,https://ncbi.nlm.nih.gov/pubmed/37130874,Sci Rep,37130874,"Petricevic L, et al. Effect of vaginal probiotics containing Lactobacillus casei rhamnosus (Lcr regenerans) on vaginal dysbiotic microbiota and pregnancy outcome, prospective, randomized study. Effect of vaginal probiotics containing Lactobacillus casei rhamnosus (Lcr regenerans) on vaginal dysbiotic microbiota and pregnancy outcome, prospective, randomized study. 2023; 13:7129. doi: 10.1038/s41598-023-34275-9",N/A,2023
Local Immune Biomarker Expression Depending on the Uterine Microbiota in Patients with Idiopathic Infertility.,"Tapilskaya NI, Savicheva AM, Shalepo KV, Budilovskaya OV, Gzgzyan AM, Bespalova ON, Khusnutdinova TA, Krysanova AA, Obedkova KV, Safarian GK",10.3390/ijms24087572,https://ncbi.nlm.nih.gov/pubmed/37108732,Int J Mol Sci,37108732,"Tapilskaya NI, et al. Local Immune Biomarker Expression Depending on the Uterine Microbiota in Patients with Idiopathic Infertility. Local Immune Biomarker Expression Depending on the Uterine Microbiota in Patients with Idiopathic Infertility. 2023; 24:(unknown pages). doi: 10.3390/ijms24087572",N/A,2023
Effects of azithromycin and doxycycline on the vaginal microbiota of women with urogenital Chlamydia trachomatis infection: a substudy of the Chlazidoxy randomized controlled trial.,"Tamarelle J, Penaud B, Tyssandier B, Guichoux E, de Barbeyrac B, Peuchant O, Chlazidoxy study group",10.1016/j.cmi.2023.04.020,https://ncbi.nlm.nih.gov/pubmed/37100225,Clin Microbiol Infect,37100225,"Tamarelle J, et al. Effects of azithromycin and doxycycline on the vaginal microbiota of women with urogenital Chlamydia trachomatis infection: a substudy of the Chlazidoxy randomized controlled trial. Effects of azithromycin and doxycycline on the vaginal microbiota of women with urogenital Chlamydia trachomatis infection: a substudy of the Chlazidoxy randomized controlled trial. 2023; 29:1056-1062. doi: 10.1016/j.cmi.2023.04.020",N/A,2023
"Characterization of Vaginal Microbial Community Dynamics in the Pathogenesis of Incident Bacterial Vaginosis, a Pilot Study.","Elnaggar JH, Lammons JW, Taylor CM, Toh E, Ardizzone CM, Dong A, Aaron KJ, Luo M, Tamhane A, Lefkowitz EJ, Quayle AJ, Nelson DE, Muzny CA",10.1097/OLQ.0000000000001821,https://ncbi.nlm.nih.gov/pubmed/37074327,Sex Transm Dis,37074327,"Elnaggar JH, et al. Characterization of Vaginal Microbial Community Dynamics in the Pathogenesis of Incident Bacterial Vaginosis, a Pilot Study. Characterization of Vaginal Microbial Community Dynamics in the Pathogenesis of Incident Bacterial Vaginosis, a Pilot Study. 2023; 50:523-530. doi: 10.1097/OLQ.0000000000001821",N/A,2023
Maternal Bacterial Engraftment in Multiple Body Sites of Cesarean Section Born Neonates after Vaginal Seeding-a Randomized Controlled Trial.,"Mueller NT, Differding MK, Sun H, Wang J, Levy S, Deopujari V, Appel LJ, Blaser MJ, Kundu T, Shah AA, Dominguez Bello MG, Hourigan SK",10.1128/mbio.00491-23,https://ncbi.nlm.nih.gov/pubmed/37074174,mBio,37074174,"Mueller NT, et al. Maternal Bacterial Engraftment in Multiple Body Sites of Cesarean Section Born Neonates after Vaginal Seeding-a Randomized Controlled Trial. Maternal Bacterial Engraftment in Multiple Body Sites of Cesarean Section Born Neonates after Vaginal Seeding-a Randomized Controlled Trial. 2023; 14:e0049123. doi: 10.1128/mbio.00491-23",N/A,2023
Cervicovaginal mucus barrier properties during pregnancy are impacted by the vaginal microbiome.,"Zierden HC, DeLong K, Zulfiqar F, Ortiz JO, Laney V, Bensouda S, Hernández N, Hoang TM, Lai SK, Hanes J, Burke AE, Ensign LM",10.3389/fcimb.2023.1015625,https://ncbi.nlm.nih.gov/pubmed/37065197,Front Cell Infect Microbiol,37065197,"Zierden HC, et al. Cervicovaginal mucus barrier properties during pregnancy are impacted by the vaginal microbiome. Cervicovaginal mucus barrier properties during pregnancy are impacted by the vaginal microbiome. 2023; 13:1015625. doi: 10.3389/fcimb.2023.1015625",N/A,2023
Cervicovaginal microbiome in patients with recurrent pregnancy loss.,"Mori R, Hayakawa T, Hirayama M, Ozawa F, Yoshihara H, Goto S, Kitaori T, Ozaki Y, Sugiura-Ogasawara M",10.1016/j.jri.2023.103944,https://ncbi.nlm.nih.gov/pubmed/37060795,J Reprod Immunol,37060795,"Mori R, et al. Cervicovaginal microbiome in patients with recurrent pregnancy loss. Cervicovaginal microbiome in patients with recurrent pregnancy loss. 2023; 157:103944. doi: 10.1016/j.jri.2023.103944",N/A,2023
Microbiome insights open new avenues to treat HPV.,McDermott A,10.1073/pnas.2304645120,https://ncbi.nlm.nih.gov/pubmed/37043538,Proc Natl Acad Sci U S A,37043538,McDermott A. Microbiome insights open new avenues to treat HPV. Microbiome insights open new avenues to treat HPV. 2023; 120:e2304645120. doi: 10.1073/pnas.2304645120,N/A,2023
Milk and Dairy Consumption and Its Relationship With Abundance of Lactobacillus crispatus in the Vaginal Microbiota: Milk Intake and Vaginal Lactobacillus.,"B Moura G, G Silva M, Marconi C",10.1097/LGT.0000000000000736,https://ncbi.nlm.nih.gov/pubmed/37043391,J Low Genit Tract Dis,37043391,"B Moura G, et al. Milk and Dairy Consumption and Its Relationship With Abundance of Lactobacillus crispatus in the Vaginal Microbiota: Milk Intake and Vaginal Lactobacillus. Milk and Dairy Consumption and Its Relationship With Abundance of Lactobacillus crispatus in the Vaginal Microbiota: Milk Intake and Vaginal Lactobacillus. 2023; 27:280-285. doi: 10.1097/LGT.0000000000000736",N/A,2023
Covariates of vaginal microbiota and pro-inflammatory cytokine levels in women of reproductive age.,"Novak J, Ferreira CST, Golim MA, Silva MG, Marconi C",10.3920/BM2022.0060,https://ncbi.nlm.nih.gov/pubmed/37026365,Benef Microbes,37026365,"Novak J, et al. Covariates of vaginal microbiota and pro-inflammatory cytokine levels in women of reproductive age. Covariates of vaginal microbiota and pro-inflammatory cytokine levels in women of reproductive age. 2023; 14:131-142. doi: 10.3920/BM2022.0060",N/A,2023
Vaginal Microbiome Dysbiosis is Associated with the Different Cervical Disease Status.,"Ma Y, Li Y, Liu Y, Cao L, Han X, Gao S, Zhang C",10.1007/s12275-023-00039-3,https://ncbi.nlm.nih.gov/pubmed/37010797,J Microbiol,37010797,"Ma Y, et al. Vaginal Microbiome Dysbiosis is Associated with the Different Cervical Disease Status. Vaginal Microbiome Dysbiosis is Associated with the Different Cervical Disease Status. 2023; 61:423-432. doi: 10.1007/s12275-023-00039-3",N/A,2023
Distinct cervical tissue-adherent and luminal microbiome communities correlate with mucosal host gene expression and protein levels in Kenyan sex workers.,"Edfeldt G, Kaldhusdal V, Czarnewski P, Bradley F, Bergström S, Lajoie J, Xu J, Månberg A, Kimani J, Oyugi J, Nilsson P, Tjernlund A, Fowke KR, Kwon DS, Broliden K",10.1186/s40168-023-01502-4,https://ncbi.nlm.nih.gov/pubmed/37004130,Microbiome,37004130,"Edfeldt G, et al. Distinct cervical tissue-adherent and luminal microbiome communities correlate with mucosal host gene expression and protein levels in Kenyan sex workers. Distinct cervical tissue-adherent and luminal microbiome communities correlate with mucosal host gene expression and protein levels in Kenyan sex workers. 2023; 11:67. doi: 10.1186/s40168-023-01502-4",N/A,2023
Mycobiome Study Reveals Different Pathogens of Vulvovaginal Candidiasis Shape Characteristic Vaginal Bacteriome.,"Zhao C, Li Y, Chen B, Yue K, Su Z, Xu J, Xue W, Zhao G, Zhang L",10.1128/spectrum.03152-22,https://ncbi.nlm.nih.gov/pubmed/36995230,Microbiol Spectr,36995230,"Zhao C, et al. Mycobiome Study Reveals Different Pathogens of Vulvovaginal Candidiasis Shape Characteristic Vaginal Bacteriome. Mycobiome Study Reveals Different Pathogens of Vulvovaginal Candidiasis Shape Characteristic Vaginal Bacteriome. 2023; 11:e0315222. doi: 10.1128/spectrum.03152-22",N/A,2023
"Cervicovaginal Human Papillomavirus Genomes, Microbiota Composition and Cytokine Concentrations in South African Adolescents.","Happel AU, Balle C, Havyarimana E, Brown B, Maust BS, Feng C, Yi BH, Gill K, Bekker LG, Passmore JS, Jaspan HB, Varsani A",10.3390/v15030758,https://ncbi.nlm.nih.gov/pubmed/36992467,Viruses,36992467,"Happel AU, et al. Cervicovaginal Human Papillomavirus Genomes, Microbiota Composition and Cytokine Concentrations in South African Adolescents. Cervicovaginal Human Papillomavirus Genomes, Microbiota Composition and Cytokine Concentrations in South African Adolescents. 2023; 15:(unknown pages). doi: 10.3390/v15030758",N/A,2023
Comparing Vaginal and Endometrial Microbiota Using Culturomics: Proof of Concept.,"Vanstokstraeten R, Callewaert E, Blotwijk S, Rombauts E, Crombé F, Emmerechts K, Soetens O, Vandoorslaer K, De Geyter D, Allonsius C, Vander Donck L, Blockeel C, Wybo I, Piérard D, Demuyser T, Mackens S",10.3390/ijms24065947,https://ncbi.nlm.nih.gov/pubmed/36983020,Int J Mol Sci,36983020,"Vanstokstraeten R, et al. Comparing Vaginal and Endometrial Microbiota Using Culturomics: Proof of Concept. Comparing Vaginal and Endometrial Microbiota Using Culturomics: Proof of Concept. 2023; 24:(unknown pages). doi: 10.3390/ijms24065947",N/A,2023
Vaginal Microbiome Metagenome Inference Accuracy: Differential Measurement Error according to Community Composition.,"Carter KA, Fodor AA, Balkus JE, Zhang A, Serrano MG, Buck GA, Engel SM, Wu MC, Sun S",10.1128/msystems.01003-22,https://ncbi.nlm.nih.gov/pubmed/36975801,mSystems,36975801,"Carter KA, et al. Vaginal Microbiome Metagenome Inference Accuracy: Differential Measurement Error according to Community Composition. Vaginal Microbiome Metagenome Inference Accuracy: Differential Measurement Error according to Community Composition. 2023; 8:e0100322. doi: 10.1128/msystems.01003-22",N/A,2023
"Impact of testosterone use on the vaginal microbiota of transgender men, including susceptibility to bacterial vaginosis: study protocol for a prospective, observational study.","Muzny CA, Van Gerwen OT, Schroeder JA, Kay-Duncan ES, Siwakoti K, Aaron KJ, Eastlund IC, Graves KJ, Elnaggar JH, Tamhane A, Long D, Van Wagoner N, Toh E, Taylor CM",10.1136/bmjopen-2023-073068,https://ncbi.nlm.nih.gov/pubmed/36972958,BMJ Open,36972958,"Muzny CA, et al. Impact of testosterone use on the vaginal microbiota of transgender men, including susceptibility to bacterial vaginosis: study protocol for a prospective, observational study. Impact of testosterone use on the vaginal microbiota of transgender men, including susceptibility to bacterial vaginosis: study protocol for a prospective, observational study. 2023; 13:e073068. doi: 10.1136/bmjopen-2023-073068",N/A,2023
Alterations of the fecal and vaginal microbiomes in patients with systemic lupus erythematosus and their associations with immunological profiles.,"Ling Z, Cheng Y, Gao J, Lei W, Yan X, Hu X, Shao L, Liu X, Kang R",10.3389/fimmu.2023.1135861,https://ncbi.nlm.nih.gov/pubmed/36969178,Front Immunol,36969178,"Ling Z, et al. Alterations of the fecal and vaginal microbiomes in patients with systemic lupus erythematosus and their associations with immunological profiles. Alterations of the fecal and vaginal microbiomes in patients with systemic lupus erythematosus and their associations with immunological profiles. 2023; 14:1135861. doi: 10.3389/fimmu.2023.1135861",N/A,2023
High dietary copper intake induces perturbations in the gut microbiota and affects host ovarian follicle development.,"Wang Q, Sun Y, Zhao A, Cai X, Yu A, Xu Q, Liu W, Zhang N, Wu S, Chen Y, Wang W",10.1016/j.ecoenv.2023.114810,https://ncbi.nlm.nih.gov/pubmed/36948015,Ecotoxicol Environ Saf,36948015,"Wang Q, et al. High dietary copper intake induces perturbations in the gut microbiota and affects host ovarian follicle development. High dietary copper intake induces perturbations in the gut microbiota and affects host ovarian follicle development. 2023; 255:114810. doi: 10.1016/j.ecoenv.2023.114810",N/A,2023
Next generation sequencing to examine associations between vaginal washing and vaginal microbiota: A cohort study.,"Sabo MC, Balkus JE, Richardson BA, Srinivasan S, Kimani J, Anzala O, Schwebke J, Fiedler TL, Fredricks DN, McClelland RS",10.1177/09564624231160806,https://ncbi.nlm.nih.gov/pubmed/36945124,Int J STD AIDS,36945124,"Sabo MC, et al. Next generation sequencing to examine associations between vaginal washing and vaginal microbiota: A cohort study. Next generation sequencing to examine associations between vaginal washing and vaginal microbiota: A cohort study. 2023; 34:557-566. doi: 10.1177/09564624231160806",N/A,2023
Vaginal microecological changes of different degrees of cervical lesions in Hakka women in Meizhou City.,"Zeng W, Liang Y, Zhou J, Lin H, Huang L, He D, Wen J, Wu B, Liu H, Zhong Y, Lei N, Yang H",10.1080/01443615.2023.2186780,https://ncbi.nlm.nih.gov/pubmed/36939019,J Obstet Gynaecol,36939019,"Zeng W, et al. Vaginal microecological changes of different degrees of cervical lesions in Hakka women in Meizhou City. Vaginal microecological changes of different degrees of cervical lesions in Hakka women in Meizhou City. 2023; 43:2186780. doi: 10.1080/01443615.2023.2186780",N/A,2023
Is the vaginal microbiome a marker or an effector of vaginal health?,Mitchell CM,10.1097/GME.0000000000002174,https://ncbi.nlm.nih.gov/pubmed/36917755,Menopause,36917755,Mitchell CM. Is the vaginal microbiome a marker or an effector of vaginal health?. Is the vaginal microbiome a marker or an effector of vaginal health?. 2023; 30:355-356. doi: 10.1097/GME.0000000000002174,N/A,2023
A pilot study using unique targeted testing of the urogenital microbiome has potential as a predictive test during IVF for implantation outcome.,"Evans GE, Mahajan V, Wakeman S, Slatter T, Ponnampalam AP, Anderson TP, Sarwar M, Evans JJ",10.1007/s00404-023-06987-w,https://ncbi.nlm.nih.gov/pubmed/36905424,Arch Gynecol Obstet,36905424,"Evans GE, et al. A pilot study using unique targeted testing of the urogenital microbiome has potential as a predictive test during IVF for implantation outcome. A pilot study using unique targeted testing of the urogenital microbiome has potential as a predictive test during IVF for implantation outcome. 2023; 307:1957-1967. doi: 10.1007/s00404-023-06987-w",N/A,2023
Does the Vaginal Microbiome Operate Differently by Race to Influence Risk of Precervical Cancer?,"Tossas KY, Zhu B, Perera RA, Serrano MG, Sullivan S, Sayeed S, Strauss JF, Winn RA, Buck GA, Seewaldt VL",10.1089/jwh.2022.0309,https://ncbi.nlm.nih.gov/pubmed/36897755,J Womens Health (Larchmt),36897755,"Tossas KY, et al. Does the Vaginal Microbiome Operate Differently by Race to Influence Risk of Precervical Cancer?. Does the Vaginal Microbiome Operate Differently by Race to Influence Risk of Precervical Cancer?. 2023; 32:553-560. doi: 10.1089/jwh.2022.0309",N/A,2023
Lactobacillus microbiota of the female genital tract in vaginal lactobacillosis.,"Coppedge N, Garza J, Gandhi K, Sanchez A, Galloway J, Ventolini G",10.1007/s00404-023-06988-9,https://ncbi.nlm.nih.gov/pubmed/36869938,Arch Gynecol Obstet,36869938,"Coppedge N, et al. Lactobacillus microbiota of the female genital tract in vaginal lactobacillosis. Lactobacillus microbiota of the female genital tract in vaginal lactobacillosis. 2023; 307:1319-1322. doi: 10.1007/s00404-023-06988-9",N/A,2023
Variable Selection for Sparse Data with Applications to Vaginal Microbiome and Gene Expression Data.,"Dousti Mousavi N, Yang J, Aldirawi H",10.3390/genes14020403,https://ncbi.nlm.nih.gov/pubmed/36833330,Genes (Basel),36833330,"Dousti Mousavi N, et al. Variable Selection for Sparse Data with Applications to Vaginal Microbiome and Gene Expression Data. Variable Selection for Sparse Data with Applications to Vaginal Microbiome and Gene Expression Data. 2023; 14:(unknown pages). doi: 10.3390/genes14020403",N/A,2023
Postbiotic gel relieves clinical symptoms of bacterial vaginitis by regulating the vaginal microbiota.,"Shen X, Xu L, Zhang Z, Yang Y, Li P, Ma T, Guo S, Kwok LY, Sun Z",10.3389/fcimb.2023.1114364,https://ncbi.nlm.nih.gov/pubmed/36816588,Front Cell Infect Microbiol,36816588,"Shen X, et al. Postbiotic gel relieves clinical symptoms of bacterial vaginitis by regulating the vaginal microbiota. Postbiotic gel relieves clinical symptoms of bacterial vaginitis by regulating the vaginal microbiota. 2023; 13:1114364. doi: 10.3389/fcimb.2023.1114364",N/A,2023
The vaginal microbiota among the different status of human papillomavirus infection and bacterial vaginosis.,"Liu Y, Li T, Guo R, Chen T, Wang S, Wu D, Li J, Liu Z, Zhao Y, Yin J, Qin J, Sun L, Chen W",10.1002/jmv.28595,https://ncbi.nlm.nih.gov/pubmed/36811337,J Med Virol,36811337,"Liu Y, et al. The vaginal microbiota among the different status of human papillomavirus infection and bacterial vaginosis. The vaginal microbiota among the different status of human papillomavirus infection and bacterial vaginosis. 2023; 95:e28595. doi: 10.1002/jmv.28595",N/A,2023
[Research progress of the application of metagenomics technology in female reproductive tract diseases].,"Jiang MJ, Tang HN, Tang LL",10.3760/cma.j.cn112150-20220905-00871,https://ncbi.nlm.nih.gov/pubmed/36797573,Zhonghua Yu Fang Yi Xue Za Zhi,36797573,"Jiang MJ, et al. [Research progress of the application of metagenomics technology in female reproductive tract diseases]. [Research progress of the application of metagenomics technology in female reproductive tract diseases]. 2023; 57:172-178. doi: 10.3760/cma.j.cn112150-20220905-00871",N/A,2023
Elimination of Human Papillomavirus and Cervical Pathological Microbiota with Photodynamic Therapy in Women from Mexico City with Cervical Intraepithelial Neoplasia I.,"López-Cárdenas MT, Jiménez A, Espinosa-Montesinos A, Maldonado-Alvarado E, Osorio-Peralta MO, Martinez-Escobar A, Moreno-Vázquez A, Aguilera-Arreola MG, Ramón-Gallegos E",10.1111/php.13791,https://ncbi.nlm.nih.gov/pubmed/36773299,Photochem Photobiol,36773299,"López-Cárdenas MT, et al. Elimination of Human Papillomavirus and Cervical Pathological Microbiota with Photodynamic Therapy in Women from Mexico City with Cervical Intraepithelial Neoplasia I. Elimination of Human Papillomavirus and Cervical Pathological Microbiota with Photodynamic Therapy in Women from Mexico City with Cervical Intraepithelial Neoplasia I. 2023; 99:1468-1475. doi: 10.1111/php.13791",N/A,2023
"The Bacterial DNA Profiling of Chorionic Villi and Amniotic Fluids Reveals Overlaps with Maternal Oral, Vaginal, and Gut Microbiomes.","Campisciano G, Zanotta N, Quadrifoglio M, Careri A, Torresani A, Cason C, De Seta F, Ricci G, Comar M, Stampalija T",10.3390/ijms24032873,https://ncbi.nlm.nih.gov/pubmed/36769194,Int J Mol Sci,36769194,"Campisciano G, et al. The Bacterial DNA Profiling of Chorionic Villi and Amniotic Fluids Reveals Overlaps with Maternal Oral, Vaginal, and Gut Microbiomes. The Bacterial DNA Profiling of Chorionic Villi and Amniotic Fluids Reveals Overlaps with Maternal Oral, Vaginal, and Gut Microbiomes. 2023; 24:(unknown pages). doi: 10.3390/ijms24032873",N/A,2023
Joint effects of individual socioeconomic status and residential neighborhood context on vaginal microbiome composition.,"Dixon M, Dunlop AL, Corwin EJ, Kramer MR",10.3389/fpubh.2023.1029741,https://ncbi.nlm.nih.gov/pubmed/36761121,Front Public Health,36761121,"Dixon M, et al. Joint effects of individual socioeconomic status and residential neighborhood context on vaginal microbiome composition. Joint effects of individual socioeconomic status and residential neighborhood context on vaginal microbiome composition. 2023; 11:1029741. doi: 10.3389/fpubh.2023.1029741",N/A,2023
